Country,State,Year,Emission_Type,Emission
United States,Alabama,1990,Fossil_CO2,25871.992959019
United States,Florida,1990,Fossil_CO2,24669.096218698
United States,Georgia,1990,Fossil_CO2,32070.683542318
United States,Hawaii,1990,Fossil_CO2,2731.9802802373
United States,Idaho,1990,Fossil_CO2,2634.3108746092
United States,Illinois,1990,Fossil_CO2,47741.405187958
United States,Indiana,1990,Fossil_CO2,67185.491109145
United States,Iowa,1990,Fossil_CO2,24889.276140453
United States,Kansas,1990,Fossil_CO2,13532.449855268
United States,Kentucky,1990,Fossil_CO2,13434.281873917
United States,Louisiana,1990,Fossil_CO2,75407.412817002
United States,Alaska,1990,Fossil_CO2,10459.716145156
United States,Maine,1990,Fossil_CO2,2848.6760004411
United States,Maryland,1990,Fossil_CO2,8441.7499954403
United States,Massachusetts,1990,Fossil_CO2,6768.3012787775
United States,Michigan,1990,Fossil_CO2,31934.987520592
United States,Minnesota,1990,Fossil_CO2,13803.949453713
United States,Mississippi,1990,Fossil_CO2,48831.853095532
United States,Missouri,1990,Fossil_CO2,13263.61746426
United States,Montana,1990,Fossil_CO2,4890.4285919498
United States,Nebraska,1990,Fossil_CO2,5759.0800252531
United States,Nevada,1990,Fossil_CO2,2839.4316418626
United States,Arizona,1990,Fossil_CO2,8036.2114663138
United States,New Hampshire,1990,Fossil_CO2,1392.5092229983
United States,New Jersey,1990,Fossil_CO2,17724.983115471
United States,New Mexico,1990,Fossil_CO2,4644.9650012042
United States,New York,1990,Fossil_CO2,18790.592317951
United States,North Carolina,1990,Fossil_CO2,13231.287933807
United States,North Dakota,1990,Fossil_CO2,26834.86920216
United States,Ohio,1990,Fossil_CO2,46192.912140308
United States,Oklahoma,1990,Fossil_CO2,29988.201733534
United States,Oregon,1990,Fossil_CO2,9473.091110198
United States,Pennsylvania,1990,Fossil_CO2,35382.996867517
United States,Arkansas,1990,Fossil_CO2,17793.601898768
United States,Rhode Island,1990,Fossil_CO2,1770.9755800882
United States,South Carolina,1990,Fossil_CO2,11400.796881478
United States,South Dakota,1990,Fossil_CO2,1477.6972888862
United States,Tennessee,1990,Fossil_CO2,14905.479767791
United States,Texas,1990,Fossil_CO2,106011.91193545
United States,Utah,1990,Fossil_CO2,6712.5906745964
United States,Vermont,1990,Fossil_CO2,739.19965678366
United States,Virginia,1990,Fossil_CO2,15648.001029393
United States,Washington,1990,Fossil_CO2,22050.887949549
United States,West Virginia,1990,Fossil_CO2,6875.2980010996
United States,California,1990,Fossil_CO2,100087.49696556
United States,Wisconsin,1990,Fossil_CO2,15389.298805523
United States,Wyoming,1990,Fossil_CO2,3498.7648461576
United States,Colorado,1990,Fossil_CO2,13028.288650851
United States,Connecticut,1990,Fossil_CO2,3410.2069672924
United States,Delaware,1990,Fossil_CO2,7191.1334017301
United States,District of Columbia,1990,Fossil_CO2,317.39901211153
United States,Alabama,1991,Fossil_CO2,24661.539718548
United States,Florida,1991,Fossil_CO2,22825.186978175
United States,Georgia,1991,Fossil_CO2,30568.907375775
United States,Hawaii,1991,Fossil_CO2,2623.5132157585
United States,Idaho,1991,Fossil_CO2,2464.7137962853
United States,Illinois,1991,Fossil_CO2,44834.80886365
United States,Indiana,1991,Fossil_CO2,62247.510004169
United States,Iowa,1991,Fossil_CO2,24051.171902301
United States,Kansas,1991,Fossil_CO2,12758.36906938
United States,Kentucky,1991,Fossil_CO2,12748.220202833
