Country,State,Year,Emission,Manufacturing_GDP,Combined_Emissions_Cluster,Fossil_CO2_Cluster,CH4_AR5_Cluster,N2O_AR5_Cluster,FGases_AR5_Cluster
United States,Alabama,2005,38438.3335736769,124746.1,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2006,37589.5321570261,129962.3,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2007,37492.1219475732,127914.5,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2008,36750.1487837774,127573.8,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2009,32675.37217936631,108693.7,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2010,36401.1190267961,117264.4,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2011,34729.5227622342,129124.2,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2012,33696.4059115985,128234.7,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2013,32844.7545698057,135256.4,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2014,33187.9309361263,131079.19999999998,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2015,33533.987020731,128838.0,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2016,35577.6104868439,133878.7,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2017,35041.2715168347,137130.5,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2018,34406.7182285277,141219.3,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2019,32957.5247633402,141656.9,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2020,33419.5724312924,135815.5,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2021,34900.9981815472,144249.7,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2022,36319.30296399471,145283.3,2.0,0.0,3.0,2.0,1.0
United States,Alabama,2023,36199.7541602288,36015.9,2.0,0.0,3.0,2.0,1.0
United States,Alaska,2005,12352.07104783829,6973.7,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2006,12191.471970253897,7313.1,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2007,12249.201740151855,7849.0,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2008,12332.663645297036,7500.9,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2009,11814.524826231736,7480.4,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2010,13398.2227100525,5290.1,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2011,12373.360830565862,4173.6,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2012,12517.611142986112,3968.2,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2013,12044.13451131624,5419.3,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2014,12716.606270132912,6515.0,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2015,13305.443830480892,7524.4,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2016,15505.319582806784,7050.6,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2017,13908.673747272524,7662.200000000001,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2018,13063.230496097049,5536.8,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2019,14306.000919883742,5910.6,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2020,15030.391277327302,0.0,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2021,16006.192834894364,6104.0,2.0,1.0,0.0,0.0,1.0
United States,Alaska,2022,18833.96911824872,5930.7,2.0,1.0,0.0,0.0,1.0
